        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.41000000e+02,        +1.414213562373e-01,        +1.436540950552e-01,        +7.590809929884e-03,        +1.648432408282e-02,        -9.433528344318e-02,        +1.648763476556e-02,        -9.436975729583e-02,        +1.414213562373e-01,        +1.648432408282e-02,        -9.433528344318e-02,        +2.113968785938e-01,        +6.585106903152e-03,        -6.070608702004e-02,        -1.954671424681e-02,        +1.414213562373e-01,        +1.648763476555e-02,        -9.436975729583e-02,        -6.070608702004e-02,        -1.954671424681e-02,        +2.113341812032e-01,        +6.545623189737e-03
 1.42000000e+02,        +1.414213562373e-01,        +1.438026980569e-01,        +7.136735008347e-03,        +1.550363226035e-02,        -9.451332187632e-02,        +1.550616082794e-02,        -9.454785774384e-02,        +1.414213562373e-01,        +1.550363226035e-02,        -9.451332187631e-02,        +2.114952131633e-01,        +5.852376531474e-03,        -6.099578377807e-02,        -1.845808356342e-02,        +1.414213562373e-01,        +1.550616082794e-02,        -9.454785774384e-02,        -6.099578377807e-02,        -1.845808356342e-02,        +2.114320318821e-01,        +5.813278238265e-03
 1.43000000e+02,        +1.414213562373e-01,        +1.439420552121e-01,        +6.679379523865e-03,        +1.452044025986e-02,        -9.468035766598e-02,        +1.452218216382e-02,        -9.471493480900e-02,        +1.414213562373e-01,        +1.452044025986e-02,        -9.468035766598e-02,        +2.115837873493e-01,        +5.120024318214e-03,        -6.126808424692e-02,        -1.736591499417e-02,        +1.414213562373e-01,        +1.452218216383e-02,        -9.471493480900e-02,        -6.126808424692e-02,        -1.736591499417e-02,        +2.115201324078e-01,        +5.081316079626e-03
 1.44000000e+02,        +1.414213562373e-01,        +1.440720910743e-01,        +6.218933901063e-03,        +1.353489441238e-02,        -9.483633981714e-02,        +1.353584556871e-02,        -9.487093725038e-02,        +1.414213562373e-01,        +1.353489441238e-02,        -9.483633981714e-02,        +2.116626590135e-01,        +4.388083567848e-03,        -6.152295838932e-02,        -1.627040159563e-02,        +1.414213562373e-01,        +1.353584556871e-02,        -9.487093725038e-02,        -6.152295838932e-02,        -1.627040159563e-02,        +2.115985406643e-01,        +4.349769586730e-03
 1.45000000e+02,        +1.414213562373e-01,        +1.441927343774e-01,        +5.755590528108e-03,        +1.254714243796e-02,        -9.498121992600e-02,        +1.254729923331e-02,        -9.501581642117e-02,        +1.414213562373e-01,        +1.254714243796e-02,        -9.498121992600e-02,        +2.117318811776e-01,        +3.656584969848e-03,        -6.176037486634e-02,        -1.517173601886e-02,        +1.414213562373e-01,        +1.254729923331e-02,        -9.501581642116e-02,        -6.176037486633e-02,        -1.517173601886e-02,        +2.116673096782e-01,        +3.618669009828e-03
 1.46000000e+02,        +1.414213562373e-01,        +1.443039180970e-01,        +5.289543654058e-03,        +1.155733338342e-02,        -9.511495222446e-02,        +1.155669268154e-02,        -9.514952631274e-02,        +1.414213562373e-01,        +1.155733338342e-02,        -9.511495222446e-02,        +2.117915018699e-01,        +2.925556797468e-03,        -6.198030094771e-02,        -1.407011062189e-02,        +1.414213562373e-01,        +1.155669268154e-02,        -9.514952631274e-02,        -6.198030094771e-02,        -1.407011062189e-02,        +2.117264874636e-01,        +2.888042175276e-03
 1.47000000e+02,        +1.414213562373e-01,        +1.444055795071e-01,        +4.820989284033e-03,        +1.056561755849e-02,        -9.523749362288e-02,        +1.056417670699e-02,        -9.527202359693e-02,        +1.414213562373e-01,        +1.056561755849e-02,        -9.523749362289e-02,        +2.118415639664e-01,        +2.195025112650e-03,        -6.218270241525e-02,        -1.296571758599e-02,        +1.414213562373e-01,        +1.056417670699e-02,        -9.527202359693e-02,        -6.218270241525e-02,        -1.296571758599e-02,        +2.117761168631e-01,        +2.157914690428e-03
 1.48000000e+02,        +1.414213562373e-01,        +1.444976602353e-01,        +4.350125072308e-03,        +9.572146470376e-03,        -9.534880375090e-02,        +9.569903307841e-03,        -9.538326766639e-02,        +1.414213562373e-01,        +9.572146470376e-03,        -9.534880375090e-02,        +2.118821050275e-01,        +1.465013977777e-03,        -6.236754345856e-02,        -1.185874903666e-02,        +1.414213562373e-01,        +9.569903307839e-03,        -9.538326766639e-02,        -6.236754345856e-02,        -1.185874903666e-02,        +2.118162353831e-01,        +1.428310155356e-03
 1.49000000e+02,        +1.414213562373e-01,        +1.445801063139e-01,        +3.877150213439e-03,        +8.577072756944e-03,        -9.544884499629e-02,        +8.574025620420e-03,        -9.548322067293e-02,        +1.414213562373e-01,        +8.577072756943e-03,        -9.544884499628e-02,        +2.119131571278e-01,        +7.355456753630e-04,        -6.253478656206e-02,        -1.074939717054e-02,        +1.414213562373e-01,        +8.574025620417e-03,        -9.548322067293e-02,        -6.253478656206e-02,        -1.074939717054e-02,        +2.118468750228e-01,        +6.992503825145e-04
 1.50000000e+02,        +1.414213562373e-01,        +1.446528682282e-01,        +3.402265331505e-03,        +7.580550118378e-03,        -9.553758254183e-02,        +7.576697851374e-03,        -9.557184756384e-02,        +1.414213562373e-01,        +7.580550118378e-03,        -9.553758254183e-02,        +2.119347466802e-01,        +6.640936804437e-06,        -6.268439238243e-02,        -9.637854389336e-03,        +1.414213562373e-01,        +7.576697851378e-03,        -9.557184756383e-02,        -6.268439238243e-02,        -9.637854389338e-03,        +2.118680620965e-01,        -2.924437449563e-05
 1.51000000e+02,        +1.414213562373e-01,        +1.447159009613e-01,        +2.925672367612e-03,        +6.582733247557e-03,        -9.561498440015e-02,        +6.578075208588e-03,        -9.564911611612e-02,        +1.414213562373e-01,        +6.582733247559e-03,        -9.561498440015e-02,        +2.119468942511e-01,        -7.216808183988e-04,        -6.281631961542e-02,        -8.524313442328e-03,        +1.414213562373e-01,        +6.578075208589e-03,        -9.564911611612e-02,        -6.281631961542e-02,        -8.524313442326e-03,        +2.118798170482e-01,        -7.571551817337e-04
