        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.42000000e+02,        +7.071067811865e+00,        +7.190134902843e+00,        +3.568367504174e-01,        +7.751816130175e-01,        -4.725666093816e+00,        +7.753080413968e-01,        -4.727392887192e+00,        +7.071067811865e+00,        +7.751816130175e-01,        -4.725666093816e+00,        +1.057476065817e+01,        +2.926188265737e-01,        -3.049789188904e+00,        -9.229041781708e-01,        +7.071067811865e+00,        +7.753080413970e-01,        -4.727392887192e+00,        -3.049789188904e+00,        -9.229041781709e-01,        +1.057160159410e+01,        +2.906639119132e-01
 1.43000000e+02,        +7.071067811865e+00,        +7.197102760606e+00,        +3.339689761933e-01,        +7.260220129930e-01,        -4.734017883299e+00,        +7.261091081912e-01,        -4.735746740450e+00,        +7.071067811865e+00,        +7.260220129928e-01,        -4.734017883299e+00,        +1.057918936747e+01,        +2.560012159107e-01,        -3.063404212346e+00,        -8.682957497085e-01,        +7.071067811865e+00,        +7.261091081913e-01,        -4.735746740450e+00,        -3.063404212346e+00,        -8.682957497087e-01,        +1.057600662039e+01,        +2.540658039813e-01
 1.44000000e+02,        +7.071067811865e+00,        +7.203604553714e+00,        +3.109466950532e-01,        +6.767447206189e-01,        -4.741816990857e+00,        +6.767922784355e-01,        -4.743546862519e+00,        +7.071067811865e+00,        +6.767447206189e-01,        -4.741816990857e+00,        +1.058313295067e+01,        +2.194041783924e-01,        -3.076147919466e+00,        -8.135200797815e-01,        +7.071067811865e+00,        +6.767922784357e-01,        -4.743546862519e+00,        -3.076147919466e+00,        -8.135200797817e-01,        +1.057992703322e+01,        +2.174884793365e-01
 1.45000000e+02,        +7.071067811865e+00,        +7.209636718871e+00,        +2.877795264054e-01,        +6.273571218980e-01,        -4.749060996300e+00,        +6.273649616653e-01,        -4.750790821058e+00,        +7.071067811865e+00,        +6.273571218979e-01,        -4.749060996300e+00,        +1.058659405888e+01,        +1.828292484924e-01,        -3.088018743317e+00,        -7.585868009430e-01,        +7.071067811865e+00,        +6.273649616653e-01,        -4.750790821058e+00,        -3.088018743317e+00,        -7.585868009431e-01,        +1.058336548391e+01,        +1.809334504914e-01
 1.46000000e+02,        +7.071067811865e+00,        +7.215195904848e+00,        +2.644771827029e-01,        +5.778666691711e-01,        -4.755747611223e+00,        +5.778346340769e-01,        -4.757476315637e+00,        +7.071067811865e+00,        +5.778666691712e-01,        -4.755747611223e+00,        +1.058957509350e+01,        +1.462778398734e-01,        -3.099015047386e+00,        -7.035055310945e-01,        +7.071067811865e+00,        +5.778346340769e-01,        -4.757476315637e+00,        -3.099015047386e+00,        -7.035055310946e-01,        +1.058632437318e+01,        +1.444021087638e-01
 1.47000000e+02,        +7.071067811865e+00,        +7.220278975354e+00,        +2.410494642016e-01,        +5.282808779243e-01,        -4.761874681144e+00,        +5.282088353494e-01,        -4.763601179847e+00,        +7.071067811865e+00,        +5.282808779245e-01,        -4.761874681144e+00,        +1.059207819832e+01,        +1.097512556325e-01,        -3.109135120763e+00,        -6.482858792993e-01,        +7.071067811865e+00,        +5.282088353495e-01,        -4.763601179847e+00,        -3.109135120763e+00,        -6.482858792993e-01,        +1.058880584316e+01,        +1.078957345214e-01
 1.48000000e+02,        +7.071067811865e+00,        +7.224883011765e+00,        +2.175062536154e-01,        +4.786073235188e-01,        -4.767440187545e+00,        +4.784951653920e-01,        -4.769163383320e+00,        +7.071067811865e+00,        +4.786073235188e-01,        -4.767440187545e+00,        +1.059410525137e+01,        +7.325069888887e-02,        -3.118377172928e+00,        -5.929374518329e-01,        +7.071067811865e+00,        +4.784951653919e-01,        -4.769163383320e+00,        -3.118377172928e+00,        -5.929374518328e-01,        +1.059081176915e+01,        +7.141550776779e-02
 1.49000000e+02,        +7.071067811865e+00,        +7.229005315697e+00,        +1.938575106719e-01,        +4.288536378472e-01,        -4.772442249814e+00,        +4.287012810210e-01,        -4.774161033646e+00,        +7.071067811865e+00,        +4.288536378471e-01,        -4.772442249814e+00,        +1.059565785639e+01,        +3.677728376815e-02,        -3.126739328103e+00,        -5.374698585270e-01,        +7.071067811865e+00,        +4.287012810208e-01,        -4.774161033646e+00,        -3.126739328103e+00,        -5.374698585271e-01,        +1.059234375114e+01,        +3.496251912572e-02
 1.50000000e+02,        +7.071067811865e+00,        +7.232643411411e+00,        +1.701132665753e-01,        +3.790275059189e-01,        -4.776879127092e+00,        +3.788348925687e-01,        -4.778592378192e+00,        +7.071067811865e+00,        +3.790275059189e-01,        -4.776879127092e+00,        +1.059673733401e+01,        +3.320468402218e-04,        -3.134219619121e+00,        -4.818927194668e-01,        +7.071067811865e+00,        +3.788348925689e-01,        -4.778592378192e+00,        -3.134219619121e+00,        -4.818927194669e-01,        +1.059340310483e+01,        -1.462218724781e-03
 1.51000000e+02,        +7.071067811865e+00,        +7.235795048067e+00,        +1.462836183806e-01,        +3.291366623779e-01,        -4.780749220008e+00,        +3.289037604294e-01,        -4.782455805806e+00,        +7.071067811865e+00,        +3.291366623780e-01,        -4.780749220008e+00,        +1.059734471256e+01,        -3.608404091994e-02,        -3.140815980771e+00,        -4.262156721164e-01,        +7.071067811865e+00,        +3.289037604294e-01,        -4.782455805806e+00,        -3.140815980771e+00,        -4.262156721163e-01,        +1.059399085241e+01,        -3.785775908669e-02
 1.52000000e+02,        +7.071067811865e+00,        +7.238458201800e+00,        +1.223787232865e-01,        +2.791888879567e-01,        -4.784051072319e+00,        +2.789156915453e-01,        -4.785749848428e+00,        +7.071067811865e+00,        +2.791888879568e-01,        -4.784051072319e+00,        +1.059748071835e+01,        -7.247006157451e-02,        -3.146526242551e+00,        -3.704483789543e-01,        +7.071067811865e+00,        +2.789156915454e-01,        -4.785749848428e+00,        -3.146526242551e+00,        -3.704483789544e-01,        +1.059410771281e+01,        -7.422320868758e-02
 1.53000000e+02,        +7.071067811865e+00,        +7.240631077635e+00,        +9.840879285078e-02,        +2.291920058702e-01,        -4.786783372436e+00,        +2.288785358365e-01,        -4.788473182580e+00,        +7.071067811865e+00,        +2.291920058703e-01,        -4.786783372436e+00,        +1.059714576560e+01,        -1.088251369770e-01,        -3.151348120785e+00,        -3.146005357107e-01,        +7.071067811865e+00,        +2.288785358365e-01,        -4.788473182580e+00,        -3.151348120785e+00,        -3.146005357106e-01,        +1.059375409145e+01,        -1.105577144301e-01
 1.54000000e+02,        +7.071067811865e+00,        +7.242312111218e+00,        +7.438408713611e-02,        +1.791538781519e-01,        -4.788944954838e+00,        +1.788001825801e-01,        -4.790624630747e+00,        +7.071067811865e+00,        +1.791538781518e-01,        -4.788944954838e+00,        +1.059633994564e+01,        -1.451484147293e-01,        -3.155279210034e+00,        -2.586818803207e-01,        +7.071067811865e+00,        +1.788001825802e-01,        -4.790624630747e+00,        -3.155279210034e+00,        -2.586818803209e-01,        +1.059293006946e+01,        -1.468604493479e-01
