        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.26400000e+02,        +7.506407156887e-13,        +7.550872707826e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.671176475906e-13,        +8.800412130036e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.660134037199e-13,        +8.800623183212e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +7.519857362036e-13,        +7.540971625199e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.720004359547e-13,        +8.737829183862e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.708957757573e-13,        +8.738044636554e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.29600000e+02,        +7.533118458449e-13,        +7.531087203406e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.768476938308e-13,        +8.676549120960e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.757430321034e-13,        +8.676768140328e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.31200000e+02,        +7.546182714041e-13,        +7.521221467476e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.816597830376e-13,        +8.616583084175e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.805555371939e-13,        +8.616804896149e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.32800000e+02,        +7.559042533112e-13,        +7.511376485201e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.864371698669e-13,        +8.557942306820e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.853337601569e-13,        +8.558166201936e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.34400000e+02,        +7.571690462971e-13,        +7.501554364833e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.911804293507e-13,        +8.500638230039e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.900782791395e-13,        +8.500863569614e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +7.584119200471e-13,        +7.491757252806e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.958902505081e-13,        +8.444682630349e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.947897866185e-13,        +8.444908853056e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.37600000e+02,        +7.596321598453e-13,        +7.481987331492e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.005674427215e-13,        +8.390087759146e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.994690958475e-13,        +8.390314388059e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.39200000e+02,        +7.608290672092e-13,        +7.472246817001e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.052129434121e-13,        +8.336866496170e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.041171486104e-13,        +8.337093146338e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.40800000e+02,        +7.620019605124e-13,        +7.462537956997e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.098278272146e-13,        +8.285032519314e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.087350244816e-13,        +8.285258905963e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.42400000e+02,        +7.631501755955e-13,        +7.452863028561e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.144133168897e-13,        +8.234600493693e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.133239518342e-13,        +8.234826441141e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +7.642730663630e-13,        +7.443224336081e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.189707962474e-13,        +8.185586283284e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.178853208695e-13,        +8.185811734692e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.45600000e+02,        +7.653700053665e-13,        +7.433624209178e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.235018254121e-13,        +8.138007189258e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.224206990006e-13,        +8.138232217326e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.47200000e+02,        +7.664403843729e-13,        +7.424065000667e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.280081588107e-13,        +8.091882219741e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.269318489747e-13,        +8.092107038511e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.48800000e+02,        +7.674836149151e-13,        +7.414549084567e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.324917663408e-13,        +8.047232396759e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.314207501921e-13,        +8.047457374681e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.50400000e+02,        +7.684991288274e-13,        +7.405078854140e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.369548582579e-13,        +8.004081107213e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.358896237644e-13,        +8.004306781680e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +7.694863787612e-13,        +7.395656719985e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.413999144190e-13,        +7.962454506060e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.403409619526e-13,        +7.962681599630e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.53600000e+02,        +7.704448386826e-13,        +7.386285108178e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.458297186373e-13,        +7.922381981471e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.447775627465e-13,        +7.922611420062e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.55200000e+02,        +7.713740043486e-13,        +7.376966458455e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.502473990456e-13,        +7.883896693700e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.492025704834e-13,        +7.884129627075e-13,        +0.000000000000e+00,        +0.000000000000e+00
