        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.13600000e+02,        +1.414213562373e-01,        +1.272878631805e-01,        +6.089816663301e-03,        +3.612883861164e-02,        -7.724968159757e-02,        +3.616520803879e-02,        -7.719930286265e-02,        +1.414213562373e-01,        +3.612883861164e-02,        -7.724968159757e-02,        +2.090169146569e-01,        +2.551370948933e-02,        -3.780731117657e-02,        -4.281652907802e-02,        +1.414213562373e-01,        +3.616520803879e-02,        -7.719930286265e-02,        -3.780731117657e-02,        -4.281652907802e-02,        +2.090118889337e-01,        +2.562563363070e-02
 1.15200000e+02,        +1.414213562373e-01,        +1.274739856825e-01,        +5.900631769661e-03,        +3.488139470306e-02,        -7.782580147745e-02,        +3.491958283311e-02,        -7.777519582269e-02,        +1.414213562373e-01,        +3.488139470306e-02,        -7.782580147745e-02,        +2.098091720465e-01,        +2.454264356487e-02,        -3.904441567868e-02,        -4.158549917315e-02,        +1.414213562373e-01,        +3.491958283311e-02,        -7.777519582269e-02,        -3.904441567868e-02,        -4.158549917315e-02,        +2.098057357567e-01,        +2.465665594740e-02
 1.16800000e+02,        +1.414213562373e-01,        +1.276542524350e-01,        +5.705507828257e-03,        +3.362407317885e-02,        -7.838161972352e-02,        +3.366410677483e-02,        -7.833084002563e-02,        +1.414213562373e-01,        +3.362407317885e-02,        -7.838161972352e-02,        +2.105716491742e-01,        +2.355209341888e-02,        -4.024229396546e-02,        -4.032114423491e-02,        +1.414213562373e-01,        +3.366410677483e-02,        -7.833084002563e-02,        -4.024229396546e-02,        -4.032114423491e-02,        +2.105698621657e-01,        +2.366815476403e-02
 1.18400000e+02,        +1.414213562373e-01,        +1.278284843163e-01,        +5.504609151570e-03,        +3.235720893537e-02,        -7.891693381290e-02,        +3.239911308779e-02,        -7.886603417519e-02,        +1.414213562373e-01,        +3.235720893537e-02,        -7.891693381290e-02,        +2.113040371726e-01,        +2.254293659850e-02,        -4.140019453999e-02,        -3.902463954090e-02,        +1.414213562373e-01,        +3.239911308779e-02,        -7.886603417519e-02,        -4.140019453999e-02,        -3.902463954090e-02,        +2.113039580785e-01,        +2.266100541304e-02
 1.20000000e+02,        +1.414213562373e-01,        +1.279965065655e-01,        +5.298105580460e-03,        +3.108114243170e-02,        -7.943154699941e-02,        +3.112494050791e-02,        -7.938058269140e-02,        +1.414213562373e-01,        +3.108114243170e-02,        -7.943154699941e-02,        +2.120060481424e-01,        +2.151604356566e-02,        -4.251739613516e-02,        -3.769716784564e-02,        +1.414213562373e-01,        +3.112494050791e-02,        -7.938058269140e-02,        -4.251739613516e-02,        -3.769716784564e-02,        +2.120077343105e-01,        +2.163607619289e-02
 1.21600000e+02,        +1.414213562373e-01,        +1.281581489758e-01,        +5.086172373398e-03,        +2.979621957534e-02,        -7.992526851157e-02,        +2.984193317091e-02,        -7.987429590674e-02,        +1.414213562373e-01,        +2.979621957534e-02,        -7.992526851157e-02,        +2.126774140526e-01,        +2.047227741578e-02,        -4.359320711586e-02,        -3.633991882060e-02,        +1.414213562373e-01,        +2.984193317091e-02,        -7.987429590674e-02,        -4.359320711586e-02,        -3.633991882060e-02,        +2.126809214771e-01,        +2.059422808784e-02
 1.23200000e+02,        +1.414213562373e-01,        +1.283132460843e-01,        +4.868990087850e-03,        +2.850279159985e-02,        -8.039791374776e-02,        +2.855044049184e-02,        -8.034699025964e-02,        +1.414213562373e-01,        +2.850279159986e-02,        -8.039791374777e-02,        +2.133178856394e-01,        +1.941249365984e-02,        -4.462696487380e-02,        -3.495408853856e-02,        +1.414213562373e-01,        +2.855044049184e-02,        -8.034699025964e-02,        -4.462696487380e-02,        -3.495408853856e-02,        +2.133232688958e-01,        +1.953631455072e-02
 1.24800000e+02,        +1.414213562373e-01,        +1.284616373592e-01,        +4.646744453906e-03,        +2.720121493460e-02,        -8.084930446832e-02,        +2.725081703683e-02,        -8.079848848474e-02,        +1.414213562373e-01,        +2.720121493460e-02,        -8.084930446832e-02,        +2.139272313067e-01,        +1.833754006904e-02,        -4.561803521446e-02,        -3.354087900180e-02,        +1.414213562373e-01,        +2.725081703683e-02,        -8.079848848474e-02,        -4.561803521446e-02,        -3.354087900180e-02,        +2.139345434889e-01,        +1.846318134828e-02
 1.26400000e+02,        +1.414213562373e-01,        +1.286031673821e-01,        +4.419626240292e-03,        +2.589185106651e-02,        -8.127926898404e-02,        +2.594342238692e-02,        -8.122861979983e-02,        +1.414213562373e-01,        +2.589185106651e-02,        -8.127926898405e-02,        +2.145052360273e-01,        +1.724825658224e-02,        -4.656581173566e-02,        -3.210149771427e-02,        +1.414213562373e-01,        +2.594342238692e-02,        -8.122861979983e-02,        -4.656581173566e-02,        -3.210149771427e-02,        +2.145145286871e-01,        +1.737566646890e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.287376860275e-01,        +4.187831112874e-03,        +2.457506639419e-02,        -8.168764234097e-02,        +2.462862099410e-02,        -8.163722008889e-02,        +1.414213562373e-01,        +2.457506639419e-02,        -8.168764234097e-02,        +2.150517002449e-01,        +1.614547527513e-02,        -4.746971519635e-02,        -3.063715729719e-02,        +1.414213562373e-01,        +2.462862099410e-02,        -8.163722008889e-02,        -4.746971519635e-02,        -3.063715729719e-02,        +2.150630233331e-01,        +1.627460009193e-02
