        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 1.95200000e+02,        -1.899784924406e+01,        -1.549986139640e+02,        -4.454929530948e+00,        -1.122877487774e+02,        -4.458629380812e+00,        -1.122098219549e+02,        -4.454929530948e+00,        -1.122877487774e+02,        -5.734597311292e+00,        -2.516221914020e+01,        -8.289208565065e+00,        +1.389191752830e+02,        -4.458629380812e+00,        -1.122098219549e+02,        -8.289208565065e+00,        +1.389191752830e+02,        -5.729855967810e+00,        -2.502647812735e+01
 1.96800000e+02,        -1.884415649117e+01,        -1.546446572319e+02,        -4.458180791063e+00,        -1.132160572918e+02,        -4.461920901885e+00,        -1.131376228400e+02,        -4.458180791063e+00,        -1.132160572918e+02,        -5.796851809927e+00,        -2.597578675805e+01,        -8.318405995332e+00,        +1.371921663812e+02,        -4.461920901885e+00,        -1.131376228400e+02,        -8.318405995332e+00,        +1.371921663812e+02,        -5.792167313115e+00,        -2.583837129584e+01
 1.98400000e+02,        -1.869087493750e+01,        -1.543311810859e+02,        -4.461504611117e+00,        -1.141441250163e+02,        -4.465297647596e+00,        -1.140651840134e+02,        -4.461504611117e+00,        -1.141441250163e+02,        -5.861975131072e+00,        -2.675534114585e+01,        -8.350586522022e+00,        +1.354997953465e+02,        -4.465297647596e+00,        -1.140651840134e+02,        -8.350586522022e+00,        +1.354997953465e+02,        -5.857340741463e+00,        -2.661605863858e+01
 2.00000000e+02,        -1.853823242004e+01,        -1.540566954293e+02,        -4.464899309438e+00,        -1.150719493425e+02,        -4.468759723749e+00,        -1.149924824940e+02,        -4.464899309438e+00,        -1.150719493425e+02,        -5.928790956463e+00,        -2.749416481431e+01,        -8.384889518917e+00,        +1.338524067947e+02,        -4.468759723749e+00,        -1.149924824940e+02,        -8.384889518917e+00,        +1.338524067947e+02,        -5.924191762585e+00,        -2.735280236814e+01
 2.01600000e+02,        -1.838643230897e+01,        -1.538197139063e+02,        -4.468363554375e+00,        -1.159995314598e+02,        -4.472306784288e+00,        -1.159194918261e+02,        -4.468363554375e+00,        -1.159995314598e+02,        -5.995557873275e+00,        -2.818725477655e+01,        -8.419752142975e+00,        +1.322600667775e+02,        -4.472306784288e+00,        -1.159194918261e+02,        -8.419752142975e+00,        +1.322600667775e+02,        -5.990968277249e+00,        -2.804359504227e+01
 2.03200000e+02,        -1.823565534958e+01,        -1.536187645005e+02,        -4.471896686960e+00,        -1.169268757086e+02,        -4.475937709339e+00,        -1.168461827484e+02,        -4.471896686960e+00,        -1.169268757086e+02,        -6.059998268859e+00,        -2.883340385730e+01,        -8.452807231616e+00,        +1.307303015957e+02,        -4.475937709339e+00,        -1.168461827484e+02,        -8.452807231616e+00,        +1.307303015957e+02,        -6.055380211738e+00,        -2.868725180940e+01
 2.04800000e+02,        -1.808606146494e+01,        -1.534523981876e+02,        -4.475499030442e+00,        -1.178539875832e+02,        -4.479650296842e+00,        -1.177725252179e+02,        -4.475499030442e+00,        -1.178539875832e+02,        -6.119524010427e+00,        -2.943747621622e+01,        -8.480974102188e+00,        +1.292650727731e+02,        -4.479650296842e+00,        -1.177725252179e+02,        -8.480974102188e+00,        +1.292650727731e+02,        -6.114827091514e+00,        -2.928869548056e+01
 2.06400000e+02,        -1.793779149687e+01,        -1.533191958787e+02,        -4.479172038444e+00,        -1.187808703123e+02,        -4.483441116571e+00,        -1.186984918603e+02,        -4.479172038443e+00,        -1.187808703123e+02,        -6.171700615161e+00,        -3.001193535572e+01,        -8.500849359487e+00,        +1.278578476643e+02,        -4.483441116571e+00,        -1.186984918603e+02,        -8.500849359486e+00,        +1.278578476643e+02,        -6.166865216287e+00,        -2.986048675758e+01
 2.08000000e+02,        -1.779096886934e+01,        -1.532177738766e+02,        -4.482918120328e+00,        -1.197075207628e+02,        -4.487305688383e+00,        -1.196240620976e+02,        -4.482918120328e+00,        -1.197075207628e+02,        -6.214869623610e+00,        -3.057642255883e+01,        -8.509395842216e+00,        +1.264922663072e+02,        -4.487305688383e+00,        -1.196240620976e+02,        -8.509395842216e+00,        +1.264922663072e+02,        -6.209833308041e+00,        -3.042239175556e+01
 2.09600000e+02,        -1.764570116408e+01,        -1.531467880416e+02,        -4.486740085783e+00,        -1.206339262515e+02,        -4.491239042697e+00,        -1.205492253600e+02,        -4.486740085783e+00,        -1.206339262515e+02,        -6.248698166059e+00,        -3.115471935305e+01,        -8.504731713907e+00,        +1.251438062509e+02,        -4.491239042697e+00,        -1.205492253600e+02,        -8.504731713907e+00,        +1.251438062509e+02,        -6.243404071655e+00,        -3.099831993515e+01
 2.11200000e+02,        -1.750208160095e+01,        -1.531049368440e+02,        -4.490640354083e+00,        -1.215600639376e+02,        -4.495236517001e+00,        -1.214739817078e+02,        -4.490640354083e+00,        -1.215600639376e+02,        -6.274376597332e+00,        -3.176980133167e+01,        -8.486672507465e+00,        +1.237845410904e+02,        -4.495236517001e+00,        -1.214739817078e+02,        -8.486672507465e+00,        +1.237845410904e+02,        -6.268781193725e+00,        -3.161134808973e+01
 2.12800000e+02,        -1.736019041783e+01,        -1.530909634645e+02,        -4.494620238472e+00,        -1.224859033577e+02,        -4.499294476762e+00,        -1.223983392971e+02,        -4.494620238472e+00,        -1.224859033577e+02,        -6.294335532810e+00,        -3.243898548209e+01,        -8.456746720161e+00,        +1.223892306650e+02,        -4.499294476762e+00,        -1.223983392971e+02,        -8.456746720160e+00,        +1.223892306650e+02,        -6.288413118802e+00,        -3.227884597096e+01
 2.14400000e+02,        -1.722009614735e+01,        -1.531036570989e+02,        -4.498679591280e+00,        -1.234114110157e+02,        -4.503410674219e+00,        -1.233223097835e+02,        -4.498679591280e+00,        -1.234114110157e+02,        -6.311617239946e+00,        -3.317120371279e+01,        -8.417688641980e+00,        +1.209401187710e+02,        -4.503410674219e+00,        -1.233223097835e+02,        -8.417688641980e+00,        +1.209401187710e+02,        -6.305360095238e+00,        -3.300974539989e+01
 2.16000000e+02,        -1.708185679111e+01,        -1.531418536138e+02,        -4.502816889642e+00,        -1.243365550280e+02,        -4.507584165048e+00,        -1.242459036721e+02,        -4.502816889642e+00,        -1.243365550280e+02,        -6.329199822214e+00,        -3.396711625731e+01,        -8.372686152539e+00,        +1.194287440845e+02,        -4.507584165048e+00,        -1.242459036721e+02,        -8.372686152539e+00,        +1.194287440845e+02,        -6.322614860883e+00,        -3.380466532817e+01
 2.17600000e+02,        -1.694552089506e+01,        -1.532044356822e+02,        -4.507029624684e+00,        -1.252613082313e+02,        -4.511814920732e+00,        -1.251691272099e+02,        -4.507029624684e+00,        -1.252613082313e+02,        -6.349524896469e+00,        -3.482127627588e+01,        -8.324716164474e+00,        +1.178548800035e+02,        -4.511814920732e+00,        -1.251691272099e+02,        -8.324716164474e+00,        +1.178548800035e+02,        -6.342628709440e+00,        -3.465809544128e+01
 2.19200000e+02,        -1.681112853204e+01,        -1.532903325049e+02,        -4.511314775138e+00,        -1.261856492961e+02,        -4.516103356458e+00,        -1.260919812778e+02,        -4.511314775138e+00,        -1.261856492961e+02,        -6.374309242634e+00,        -3.572494765405e+01,        -8.276153607708e+00,        +1.162239245953e+02,        -4.516103356458e+00,        -1.260919812778e+02,        -8.276153607708e+00,        +1.162239245953e+02,        -6.367123265200e+00,        -3.556123140605e+01
