        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.13600000e+02,        +7.071067811865e+00,        +6.364393159027e+00,        +3.044908331650e-01,        +1.806441930582e+00,        -3.862484079879e+00,        +1.808260401940e+00,        -3.859965143133e+00,        +7.071067811865e+00,        +1.806441930582e+00,        -3.862484079879e+00,        +1.045084573285e+01,        +1.275685474466e+00,        -1.890365558829e+00,        -2.140826453901e+00,        +7.071067811865e+00,        +1.808260401940e+00,        -3.859965143133e+00,        -1.890365558829e+00,        -2.140826453901e+00,        +1.045059444668e+01,        +1.281281681535e+00
 1.15200000e+02,        +7.071067811865e+00,        +6.373699284127e+00,        +2.950315884830e-01,        +1.744069735153e+00,        -3.891290073873e+00,        +1.745979141655e+00,        -3.888759791135e+00,        +7.071067811865e+00,        +1.744069735153e+00,        -3.891290073873e+00,        +1.049045860233e+01,        +1.227132178243e+00,        -1.952220783934e+00,        -2.079274958657e+00,        +7.071067811865e+00,        +1.745979141655e+00,        -3.888759791135e+00,        -1.952220783934e+00,        -2.079274958657e+00,        +1.049028678784e+01,        +1.232832797370e+00
 1.16800000e+02,        +7.071067811865e+00,        +6.382712621752e+00,        +2.852753914128e-01,        +1.681203658943e+00,        -3.919080986176e+00,        +1.683205338742e+00,        -3.916542001282e+00,        +7.071067811865e+00,        +1.681203658943e+00,        -3.919080986176e+00,        +1.052858245871e+01,        +1.177604670944e+00,        -2.012114698273e+00,        -2.016057211745e+00,        +7.071067811865e+00,        +1.683205338742e+00,        -3.916542001282e+00,        -2.012114698273e+00,        -2.016057211745e+00,        +1.052849310829e+01,        +1.183407738202e+00
 1.18400000e+02,        +7.071067811865e+00,        +6.391424215816e+00,        +2.752304575785e-01,        +1.617860446769e+00,        -3.945846690645e+00,        +1.619955654389e+00,        -3.943301708760e+00,        +7.071067811865e+00,        +1.617860446769e+00,        -3.945846690645e+00,        +1.056520185863e+01,        +1.127146829925e+00,        -2.070009727000e+00,        -1.951231977045e+00,        +7.071067811865e+00,        +1.619955654389e+00,        -3.943301708760e+00,        -2.070009727000e+00,        -1.951231977045e+00,        +1.056519790392e+01,        +1.133050270652e+00
 1.20000000e+02,        +7.071067811865e+00,        +6.399825328276e+00,        +2.649052790230e-01,        +1.554057121585e+00,        -3.971577349970e+00,        +1.556247025396e+00,        -3.969029134570e+00,        +7.071067811865e+00,        +1.554057121585e+00,        -3.971577349970e+00,        +1.060030240712e+01,        +1.075802178283e+00,        -2.125869806758e+00,        -1.884858392282e+00,        +7.071067811865e+00,        +1.556247025396e+00,        -3.969029134570e+00,        -2.125869806758e+00,        -1.884858392282e+00,        +1.060038671552e+01,        +1.081803809645e+00
 1.21600000e+02,        +7.071067811865e+00,        +6.407907448789e+00,        +2.543086186699e-01,        +1.489810978767e+00,        -3.996263425578e+00,        +1.492096658545e+00,        -3.993714795337e+00,        +7.071067811865e+00,        +1.489810978767e+00,        -3.996263425578e+00,        +1.063387070263e+01,        +1.023613870789e+00,        -2.179660355793e+00,        -1.816995941030e+00,        +7.071067811865e+00,        +1.492096658545e+00,        -3.993714795337e+00,        -2.179660355793e+00,        -1.816995941030e+00,        +1.063404607385e+01,        +1.029711404392e+00
 1.23200000e+02,        +7.071067811865e+00,        +6.415662304217e+00,        +2.434495043925e-01,        +1.425139579993e+00,        -4.019895687388e+00,        +1.427522024592e+00,        -4.017349512982e+00,        +7.071067811865e+00,        +1.425139579993e+00,        -4.019895687388e+00,        +1.066589428197e+01,        +9.706246829921e-01,        -2.231348243690e+00,        -1.747704426928e+00,        +7.071067811865e+00,        +1.427522024592e+00,        -4.017349512982e+00,        -2.231348243690e+00,        -1.747704426928e+00,        +1.066616344479e+01,        +9.768157275362e-01
 1.24800000e+02,        +7.071067811865e+00,        +6.423081867960e+00,        +2.323372226953e-01,        +1.360060746730e+00,        -4.042465223416e+00,        +1.362540851841e+00,        -4.039924424237e+00,        +7.071067811865e+00,        +1.360060746730e+00,        -4.042465223416e+00,        +1.069636156533e+01,        +9.168770034518e-01,        -2.280901760723e+00,        -1.677043950090e+00,        +7.071067811865e+00,        +1.362540851841e+00,        -4.039924424237e+00,        -2.280901760723e+00,        -1.677043950090e+00,        +1.069672717444e+01,        +9.231590674142e-01
 1.26400000e+02,        +7.071067811865e+00,        +6.430158369106e+00,        +2.209813120146e-01,        +1.294592553326e+00,        -4.063963449202e+00,        +1.297171119346e+00,        -4.061430989991e+00,        +7.071067811865e+00,        +1.294592553326e+00,        -4.063963449202e+00,        +1.072526180137e+01,        +8.624128291118e-01,        -2.328290586783e+00,        -1.605074885714e+00,        +7.071067811865e+00,        +1.297171119346e+00,        -4.061430989991e+00,        -2.328290586783e+00,        -1.605074885714e+00,        +1.072572643435e+01,        +8.687833234452e-01
 1.28000000e+02,        +7.071067811865e+00,        +6.436884301376e+00,        +2.093915556437e-01,        +1.228753319709e+00,        -4.084382117048e+00,        +1.231431049705e+00,        -4.081861004444e+00,        +7.071067811865e+00,        +1.228753319709e+00,        -4.084382117048e+00,        +1.075258501224e+01,        +8.072737637564e-01,        -2.373485759817e+00,        -1.531857864860e+00,        +7.071067811865e+00,        +1.231431049705e+00,        -4.081861004445e+00,        -2.373485759817e+00,        -1.531857864860e+00,        +1.075315116666e+01,        +8.137300045967e-01
