        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 1.28000000e+02,        -8.154823106493e+00,        +1.182597377974e+02,        -6.636446464499e+00,        -6.474640886176e+01,        -3.943506601508e+00,        -1.326566440427e+02,        -9.740865099450e+00,        -1.024889713306e+02,        -6.636446464499e+00,        -6.474640886176e+01,        -8.173594246623e+00,        +1.182430452549e+02,        -9.732998730866e+00,        -1.024953296171e+02,        -3.939177780301e+00,        -1.326908614382e+02,        -3.943506601508e+00,        -1.326566440427e+02,        -9.732998730866e+00,        -1.024953296171e+02,        -8.155692886446e+00,        +1.182138156674e+02,        -6.639826574028e+00,        -6.470964759337e+01,        -9.740865099450e+00,        -1.024889713306e+02,        -3.939177780301e+00,        -1.326908614382e+02,        -6.639826574028e+00,        -6.470964759337e+01,        -8.162467105350e+00,        +1.181361941219e+02
 1.29600000e+02,        -8.419345534957e+00,        +1.164293115723e+02,        -6.532000963449e+00,        -6.551645596566e+01,        -3.879196744327e+00,        -1.347164162373e+02,        -9.910969007113e+00,        -1.039692220221e+02,        -6.532000963449e+00,        -6.551645596566e+01,        -8.439573092802e+00,        +1.164080846713e+02,        -9.902825042310e+00,        -1.039776760882e+02,        -3.874837080573e+00,        -1.347524242662e+02,        -3.879196744327e+00,        -1.347164162373e+02,        -9.902825042310e+00,        -1.039776760882e+02,        -8.420326514470e+00,        +1.163784032237e+02,        -6.535265423361e+00,        -6.547867467047e+01,        -9.910969007113e+00,        -1.039692220221e+02,        -3.874837080573e+00,        -1.347524242662e+02,        -6.535265423361e+00,        -6.547867467047e+01,        -8.427798723529e+00,        +1.162978169550e+02
 1.31200000e+02,        -8.704006557884e+00,        +1.145536058325e+02,        -6.424086709879e+00,        -6.633400101398e+01,        -3.816425950820e+00,        -1.367986496584e+02,        -1.009417475663e+01,        -1.054397345214e+02,        -6.424086709879e+00,        -6.633400101398e+01,        -8.725842109252e+00,        +1.145273775795e+02,        -1.008574226226e+01,        -1.054504985889e+02,        -3.812045797669e+00,        -1.368365105263e+02,        -3.816425950820e+00,        -1.367986496584e+02,        -1.008574226226e+01,        -1.054504985889e+02,        -8.705107689023e+00,        +1.144972091359e+02,        -6.427228292125e+00,        -6.629526542390e+01,        -1.009417475663e+01,        -1.054397345214e+02,        -3.812045797669e+00,        -1.368365105263e+02,        -6.427228292125e+00,        -6.629526542390e+01,        -8.713357236009e+00,        +1.144134736364e+02
 1.32800000e+02,        -9.010470038114e+00,        +1.126303668420e+02,        -6.313266626749e+00,        -6.720175329809e+01,        -3.755423679107e+00,        -1.389029099794e+02,        -1.029152583060e+01,        -1.068943282077e+02,        -6.313266626749e+00,        -6.720175329809e+01,        -9.034085570846e+00,        +1.125986054070e+02,        -1.028279372380e+01,        -1.069076453035e+02,        -3.751034411984e+00,        -1.389426839907e+02,        -3.755423679107e+00,        -1.389029099794e+02,        -1.028279372380e+01,        -1.069076453035e+02,        -9.011700447838e+00,        +1.125679110403e+02,        -6.316279165713e+00,        -6.716213304517e+01,        -1.029152583060e+01,        -1.068943282077e+02,        -3.751034411984e+00,        -1.389426839907e+02,        -6.316279165713e+00,        -6.716213304517e+01,        -9.020817538115e+00,        +1.124808193301e+02
 1.34400000e+02,        -9.340595174212e+00,        +1.106568553304e+02,        -6.200154465942e+00,        -6.812207682921e+01,        -3.696416601385e+00,        -1.410286223729e+02,        -1.050411026263e+01,        -1.083256398147e+02,        -6.200154465942e+00,        -6.812207682921e+01,        -9.366186662753e+00,        +1.106189489827e+02,        -1.049506755870e+01,        -1.083417867927e+02,        -3.692030646057e+00,        -1.410703672558e+02,        -3.696416601385e+00,        -1.410286223729e+02,        -1.049506755870e+01,        -1.083417867927e+02,        -9.341963904169e+00,        +1.105876877135e+02,        -6.203032913034e+00,        -6.808164451491e+01,        -1.050411026263e+01,        -1.083256398147e+02,        -3.692030646057e+00,        -1.410703672558e+02,        -6.203032913034e+00,        -6.808164451491e+01,        -9.352051504373e+00,        +1.104970049201e+02
 1.36000000e+02,        -9.696472342016e+00,        +1.086296822943e+02,        -6.085408725782e+00,        -6.909694522066e+01,        -3.639625927226e+00,        -1.431750704389e+02,        -1.073305338702e+01,        -1.097249295189e+02,        -6.085408725782e+00,        -6.909694522066e+01,        -9.724264142290e+00,        +1.085849194991e+02,        -1.072368956885e+01,        -1.097442230323e+02,        -3.635256778402e+00,        -1.432188406073e+02,        -3.639625927226e+00,        -1.431750704389e+02,        -1.072368956885e+01,        -1.097442230323e+02,        -9.697987943316e+00,        +1.085530514465e+02,        -6.088149181589e+00,        -6.905577545479e+01,        -1.073305338702e+01,        -1.097249295189e+02,        -3.635256778402e+00,        -1.432188406073e+02,        -6.088149181589e+00,        -6.905577545479e+01,        -9.709164127032e+00,        +1.084585074706e+02
 1.37600000e+02,        -1.008046842244e+01,        +1.065445887822e+02,        -5.969725553985e+00,        -7.012790252180e+01,        -3.585264599469e+00,        -1.453413978847e+02,        -1.097950677168e+01,        -1.110818520684e+02,        -5.969725553985e+00,        -7.012790252180e+01,        -1.011071872461e+01,        +1.064921315661e+02,        -1.096981233021e+01,        -1.111046556559e+02,        -3.580926827911e+00,        -1.453872436405e+02,        -3.585264599469e+00,        -1.453413978847e+02,        -1.096981233021e+01,        -1.111046556559e+02,        -1.008213833356e+01,        +1.064596233020e+02,        -5.972325277995e+00,        -7.008607095815e+01,        -1.097950677168e+01,        -1.110818520684e+02,        -3.580926827911e+00,        -1.453872436405e+02,        -5.972325277995e+00,        -7.008607095815e+01,        -1.009453920096e+01,        +1.063609027717e+02
 1.39200000e+02,        -1.049528459033e+01,        +1.043961484856e+02,        -5.853830801404e+00,        -7.121603109460e+01,        -3.533534435883e+00,        -1.475266132568e+02,        -1.124463175539e+01,        -1.123841859716e+02,        -5.853830801404e+00,        -7.121603109460e+01,        -1.052829224831e+01,        +1.043349963123e+02,        -1.123459897021e+01,        -1.124109184250e+02,        -3.529243681952e+00,        -1.475745799387e+02,        -3.533534435883e+00,        -1.475266132568e+02,        -1.123459897021e+01,        -1.124109184250e+02,        -1.049711418743e+01,        +1.043018296591e+02,        -5.856288200132e+00,        -7.117361348908e+01,        -1.124463175539e+01,        -1.123841859716e+02,        -3.529243681952e+00,        -1.475745799387e+02,        -5.856288200133e+00,        -7.117361348908e+01,        -1.051089753828e+01,        +1.041985579917e+02
 1.40800000e+02,        -1.094403057060e+01,        +1.021773621443e+02,        -5.738471420876e+00,        -7.236192739231e+01,        -3.484623304328e+00,        -1.497295979368e+02,        -1.152957531412e+01,        -1.136175128894e+02,        -5.738471420876e+00,        -7.236192739231e+01,        -1.098014373942e+01,        +1.021063022007e+02,        -1.151919937061e+01,        -1.136486580564e+02,        -3.480396255851e+00,        -1.497797250241e+02,        -3.484623304328e+00,        -1.497295979368e+02,        -1.151919937061e+01,        -1.136486580564e+02,        -1.094602171686e+01,        +1.020724884426e+02,        -5.740786015969e+00,        -7.231899870681e+01,        -1.152957531412e+01,        -1.136175128894e+02,        -3.480396255851e+00,        -1.497797250241e+02,        -5.740786015969e+00,        -7.231899870681e+01,        -1.096137172290e+01,        +1.019642122421e+02
 1.42400000e+02,        -1.143032079326e+01,        +9.987909740278e+01,        -5.624406426305e+00,        -7.356568623371e+01,        -3.438702431141e+00,        -1.519491174944e+02,        -1.183543497774e+01,        -1.147648390545e+02,        -5.624406426305e+00,        -7.356568623371e+01,        -1.146994795897e+01,        +9.979663508890e+01,        -1.182471555517e+01,        -1.148009571683e+02,        -3.434556783566e+00,        -1.520014376786e+02,        -3.438702431141e+00,        -1.519491174944e+02,        -1.182471555517e+01,        -1.148009571683e+02,        -1.143246961027e+01,        +9.976223778005e+01,        -5.626578804780e+00,        -7.352231980550e+01,        -1.183543497774e+01,        -1.147648390545e+02,        -3.434556783566e+00,        -1.520014376786e+02,        -5.626578804780e+00,        -7.352231980550e+01,        -1.144960282720e+01,        +9.964839685155e+01
