        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.44000000e+02,        +1.432568838668e-12,        +1.648810498751e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.432960855624e-12,        +1.648656041167e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.432611769102e-12,        +1.648319826836e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.432597936740e-12,        +1.648599093382e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+02,        +1.449293721696e-12,        +1.653472353765e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.449684758153e-12,        +1.653317632963e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.449329967354e-12,        +1.652983853898e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.449319406161e-12,        +1.653259279760e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +1.465754966914e-12,        +1.657677992665e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.466144365768e-12,        +1.657522291389e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.465784244638e-12,        +1.657191318717e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.465776978655e-12,        +1.657463113796e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.47000000e+02,        +1.481919639749e-12,        +1.661414820686e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.482306710498e-12,        +1.661257401873e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.481941663093e-12,        +1.660929614694e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.481937711471e-12,        +1.661197996065e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +1.497755484464e-12,        +1.664671598108e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.498139505051e-12,        +1.664511708041e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.497769964639e-12,        +1.664187491825e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.497769341546e-12,        +1.664452682917e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.49000000e+02,        +1.513231108093e-12,        +1.667438506380e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.513611327124e-12,        +1.667275378086e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.513237755011e-12,        +1.666955122943e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.513240469560e-12,        +1.667217352688e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +1.528316154775e-12,        +1.669707199244e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.528691794112e-12,        +1.669540056111e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.528314678188e-12,        +1.669224154933e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.528320734403e-12,        +1.669483656898e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+02,        +1.542981467638e-12,        +1.671470837982e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.543351725349e-12,        +1.671298897572e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.542971578368e-12,        +1.670987744069e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.542980975174e-12,        +1.671244755574e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +1.557199235638e-12,        +1.672724110285e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.557563289299e-12,        +1.672546588284e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.557180646892e-12,        +1.672240574931e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.557193378134e-12,        +1.672495336177e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.53000000e+02,        +1.570943123102e-12,        +1.673463232611e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.571300133426e-12,        +1.673279346900e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.570915551860e-12,        +1.672978862812e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.570931606356e-12,        +1.673231616008e-12,        +0.000000000000e+00,        +0.000000000000e+00
