        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.64000000e+02,        +6.643340253807e-12,        +6.855610723970e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.676086955617e-12,        +6.887039171994e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+02,        +6.740767789851e-12,        +6.953082218902e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.777097646896e-12,        +6.987596039837e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +6.961804185736e-12,        +7.157269970454e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.002287002271e-12,        +7.195258779350e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.67000000e+02,        +7.269761321962e-12,        +7.434142466220e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.314676222132e-12,        +7.475760023800e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +7.599218768251e-12,        +7.725317678307e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.648345657849e-12,        +7.770328031791e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.69000000e+02,        +7.858210311193e-12,        +7.950628235798e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.910663541999e-12,        +7.998290248524e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+02,        +7.958359901541e-12,        +8.034860222156e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.012681003495e-12,        +8.084013134831e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.71000000e+02,        +7.865892139526e-12,        +7.951544757300e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.920517177741e-12,        +8.000971114076e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+02,        +7.625859696757e-12,        +7.742268379353e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.679698458542e-12,        +7.791123962301e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.73000000e+02,        +7.329009445547e-12,        +7.486462792203e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.381702673179e-12,        +7.534449536804e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+02,        +7.058115314710e-12,        +7.254866239027e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.109876224796e-12,        +7.302092592875e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+02,        +6.861091626174e-12,        +7.087139195614e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.912379240270e-12,        +7.133863660663e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +6.753828457906e-12,        +6.995123872876e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.805076359893e-12,        +7.041548903396e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.77000000e+02,        +6.733154664837e-12,        +6.974419356468e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.784613305701e-12,        +7.020575054932e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+02,        +6.787422366854e-12,        +7.013597447823e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.839085031670e-12,        +7.059290161890e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.79000000e+02,        +6.902274980925e-12,        +7.099150259424e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.953849098772e-12,        +7.143947006122e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+02,        +7.063026585673e-12,        +7.217509151374e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.113929018099e-12,        +7.260742564817e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.81000000e+02,        +7.255326267238e-12,        +7.355614745959e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.304696631003e-12,        +7.396404941785e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+02,        +7.465168420387e-12,        +7.500955580110e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.511903058474e-12,        +7.538251295059e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.83000000e+02,        +7.678798263760e-12,        +7.641538724688e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.721610125834e-12,        +7.674181212391e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +7.882765253362e-12,        +7.765994624132e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.920272981710e-12,        +7.792805182168e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+02,        +8.064215423946e-12,        +7.863876388437e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.095059351523e-12,        +7.883763042596e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+02,        +8.211413711653e-12,        +7.926127369114e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.234388671778e-12,        +7.938199590860e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.87000000e+02,        +8.314413985675e-12,        +7.945631162431e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.328601177403e-12,        +7.949305758086e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.88000000e+02,        +8.365742540583e-12,        +7.917721444153e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.370618251588e-12,        +7.912800501372e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.89000000e+02,        +8.360940089091e-12,        +7.840522804643e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.356440450056e-12,        +7.827227656613e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+02,        +8.298827994328e-12,        +7.715023675167e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.285356773533e-12,        +7.693977167434e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.91000000e+02,        +8.181424826134e-12,        +7.544842839537e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.159803486580e-12,        +7.517003364286e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+02,        +8.013521441602e-12,        +7.335723279620e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.984893148604e-12,        +7.302284269456e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.93000000e+02,        +7.801999030329e-12,        +7.094846848739e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.767706796831e-12,        +7.057121293485e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.94000000e+02,        +7.555020486755e-12,        +6.830091909388e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.516481859657e-12,        +6.789401558642e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+02,        +7.281230861313e-12,        +6.549348931042e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.239827876928e-12,        +6.506933132058e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+02,        +6.989073883685e-12,        +6.259975335119e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.946069857916e-12,        +6.216927391166e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.97000000e+02,        +6.686285350901e-12,        +5.968426836393e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.642772346277e-12,        +5.925658938064e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.98000000e+02,        +6.379578110175e-12,        +5.680063078423e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.336452813385e-12,        +5.638295948461e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.99000000e+02,        +6.074499090322e-12,        +5.399098994709e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.032461255449e-12,        +5.358869907801e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+02,        +5.775420225378e-12,        +5.128661571240e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.734986640937e-12,        +5.090343998177e-12,        +0.000000000000e+00,        +0.000000000000e+00
