        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.34400000e+02,        +1.414213562373e-01,        +1.262406271476e-02,        +4.978520170499e-03,        -1.059836847404e-03,        -1.836477849617e-03,        +1.414213562373e-01,        -1.059836847419e-03,        -1.836477849641e-03,        +1.266606345241e-02,        +5.296467211721e-03
 1.36000000e+02,        +1.414213562373e-01,        +1.425819241459e-02,        +1.087892493460e-02,        -1.572015709145e-03,        -2.187842352551e-03,        +1.414213562373e-01,        -1.572015709134e-03,        -2.187842352545e-03,        +1.432025124695e-02,        +1.120821168685e-02
 1.37600000e+02,        +1.414213562373e-01,        +1.658938801946e-02,        +1.707914862017e-02,        -2.358303702429e-03,        -2.593926880633e-03,        +1.414213562373e-01,        -2.358303702452e-03,        -2.593926880626e-03,        +1.667477423757e-02,        +1.741899373028e-02
 1.39200000e+02,        +1.414213562373e-01,        +1.988480520420e-02,        +2.355045105881e-02,        -3.593223472329e-03,        -3.007688038195e-03,        +1.414213562373e-01,        -3.593223472332e-03,        -3.007688038178e-03,        +1.999729457103e-02,        +2.389904618585e-02
 1.40800000e+02,        +1.414213562373e-01,        +2.455777649084e-02,        +3.013870002739e-02,        -5.565855632672e-03,        -3.262003009891e-03,        +1.414213562373e-01,        -5.565855632665e-03,        -3.262003009906e-03,        +2.470133628859e-02,        +3.049246565720e-02
 1.42400000e+02,        +1.414213562373e-01,        +3.119938598154e-02,        +3.634089163098e-02,        -8.697983740903e-03,        -2.854108351297e-03,        +1.414213562373e-01,        -8.697983740922e-03,        -2.854108351309e-03,        +3.137694083959e-02,        +3.669341741924e-02
 1.44000000e+02,        +1.414213562373e-01,        +4.033291315404e-02,        +4.079335201253e-02,        -1.327875387660e-02,        -4.503063123818e-04,        +1.414213562373e-01,        -1.327875387671e-02,        -4.503063124085e-04,        +4.054275300777e-02,        +4.113504409445e-02
 1.45600000e+02,        +1.414213562373e-01,        +5.096455706833e-02,        +4.083587681318e-02,        -1.798845104751e-02,        +6.514465546693e-03,        +1.414213562373e-01,        -1.798845104756e-02,        +6.514465546742e-03,        +5.119399730431e-02,        +4.115967022721e-02
 1.47200000e+02,        +1.414213562373e-01,        +5.804346016589e-02,        +3.542516410015e-02,        -1.733342738593e-02,        +1.885150967631e-02,        +1.414213562373e-01,        -1.733342738597e-02,        +1.885150967624e-02,        +5.827405256533e-02,        +3.574514834973e-02
 1.48800000e+02,        +1.414213562373e-01,        +5.788088168520e-02,        +3.115423573574e-02,        -7.058779004527e-03,        +2.947892651503e-02,        +1.414213562373e-01,        -7.058779004495e-03,        +2.947892651506e-02,        +5.812402861903e-02,        +3.150332293482e-02
 1.50400000e+02,        +1.414213562373e-01,        +5.666257423321e-02,        +3.331550555852e-02,        +7.310806620852e-03,        +3.212998064252e-02,        +1.414213562373e-01,        +7.310806620885e-03,        +3.212998064260e-02,        +5.696038790250e-02,        +3.369841297623e-02
 1.52000000e+02,        +1.414213562373e-01,        +5.996295058215e-02,        +3.832081316316e-02,        +2.067747701879e-02,        +2.849159471359e-02,        +1.414213562373e-01,        +2.067747701879e-02,        +2.849159471366e-02,        +6.034740628555e-02,        +3.870743729026e-02
 1.53600000e+02,        +1.414213562373e-01,        +6.776667165875e-02,        +4.129512865689e-02,        +3.232232735698e-02,        +2.018583377719e-02,        +1.414213562373e-01,        +3.232232735698e-02,        +2.018583377721e-02,        +6.824545697492e-02,        +4.163939080721e-02
 1.55200000e+02,        +1.414213562373e-01,        +7.711207110051e-02,        +3.904403861147e-02,        +4.105421688992e-02,        +6.599029043398e-03,        +1.414213562373e-01,        +4.105421688986e-02,        +6.599029043392e-03,        +7.766065044260e-02,        +3.929625414155e-02
 1.56800000e+02,        +1.414213562373e-01,        +8.291006859448e-02,        +3.132172738834e-02,        +4.299923816902e-02,        -1.178916257080e-02,        +1.414213562373e-01,        +4.299923816897e-02,        -1.178916257078e-02,        +8.346512290226e-02,        +3.145680420713e-02
 1.58400000e+02,        +1.414213562373e-01,        +8.125638942542e-02,        +2.303752966841e-02,        +3.477944768743e-02,        -2.980997491791e-02,        +1.414213562373e-01,        +3.477944768741e-02,        -2.980997491798e-02,        +8.174856400149e-02,        +2.309196550345e-02
 1.60000000e+02,        +1.414213562373e-01,        +7.471896768968e-02,        +2.054006831768e-02,        +1.906758617732e-02,        -4.081671183514e-02,        +1.414213562373e-01,        +1.906758617727e-02,        -4.081671183519e-02,        +7.513530736390e-02,        +2.059265022064e-02
 1.61600000e+02,        +1.414213562373e-01,        +6.949834490297e-02,        +2.467694025504e-02,        +1.933920903529e-03,        -4.338100983672e-02,        +1.414213562373e-01,        +1.933920903593e-03,        -4.338100983664e-02,        +6.988739950465e-02,        +2.478237453612e-02
 1.63200000e+02,        +1.414213562373e-01,        +6.904812925580e-02,        +3.190037120799e-02,        -1.329822227609e-02,        -3.990780134920e-02,        +1.414213562373e-01,        -1.329822227609e-02,        -3.990780134913e-02,        +6.947475895956e-02,        +3.206253507231e-02
 1.64800000e+02,        +1.414213562373e-01,        +7.345225778960e-02,        +3.839937329007e-02,        -2.610814813387e-02,        -3.220967727585e-02,        +1.414213562373e-01,        -2.610814813390e-02,        -3.220967727585e-02,        +7.396609451621e-02,        +3.858252156803e-02
