        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.32800000e+02,        +7.071067811865e+00,        +5.756785388816e-01,        -3.177919166347e-02,        -3.592214366725e-02,        -7.730327791328e-02,        +7.071067811865e+00,        -3.592214366678e-02,        -7.730327791232e-02,        +5.769128956049e-01,        -1.645860242321e-02
 1.34400000e+02,        +7.071067811865e+00,        +6.312031357379e-01,        +2.489260085249e-01,        -5.299184237022e-02,        -9.182389248087e-02,        +7.071067811865e+00,        -5.299184237093e-02,        -9.182389248207e-02,        +6.333031726203e-01,        +2.648233605860e-01
 1.36000000e+02,        +7.071067811865e+00,        +7.129096207295e-01,        +5.439462467301e-01,        -7.860078545726e-02,        -1.093921176275e-01,        +7.071067811865e+00,        -7.860078545668e-02,        -1.093921176273e-01,        +7.160125623474e-01,        +5.604105843425e-01
 1.37600000e+02,        +7.071067811865e+00,        +8.294694009729e-01,        +8.539574310083e-01,        -1.179151851215e-01,        -1.296963440317e-01,        +7.071067811865e+00,        -1.179151851226e-01,        -1.296963440313e-01,        +8.337387118786e-01,        +8.709496865142e-01
 1.39200000e+02,        +7.071067811865e+00,        +9.942402602102e-01,        +1.177522552940e+00,        -1.796611736165e-01,        -1.503844019097e-01,        +7.071067811865e+00,        -1.796611736166e-01,        -1.503844019089e-01,        +9.998647285517e-01,        +1.194952309293e+00
 1.40800000e+02,        +7.071067811865e+00,        +1.227888824542e+00,        +1.506935001369e+00,        -2.782927816336e-01,        -1.631001504946e-01,        +7.071067811865e+00,        -2.782927816333e-01,        -1.631001504953e-01,        +1.235066814429e+00,        +1.524623282860e+00
 1.42400000e+02,        +7.071067811865e+00,        +1.559969299077e+00,        +1.817044581549e+00,        -4.348991870452e-01,        -1.427054175648e-01,        +7.071067811865e+00,        -4.348991870461e-01,        -1.427054175655e-01,        +1.568847041980e+00,        +1.834670870962e+00
 1.44000000e+02,        +7.071067811865e+00,        +2.016645657702e+00,        +2.039667600627e+00,        -6.639376938300e-01,        -2.251531561909e-02,        +7.071067811865e+00,        -6.639376938354e-01,        -2.251531562043e-02,        +2.027137650388e+00,        +2.056752204722e+00
 1.45600000e+02,        +7.071067811865e+00,        +2.548227853417e+00,        +2.041793840659e+00,        -8.994225523753e-01,        +3.257232773347e-01,        +7.071067811865e+00,        -8.994225523779e-01,        +3.257232773371e-01,        +2.559699865215e+00,        +2.057983511361e+00
 1.47200000e+02,        +7.071067811865e+00,        +2.902173008294e+00,        +1.771258205008e+00,        -8.666713692965e-01,        +9.425754838154e-01,        +7.071067811865e+00,        -8.666713692985e-01,        +9.425754838122e-01,        +2.913702628267e+00,        +1.787257417487e+00
 1.48800000e+02,        +7.071067811865e+00,        +2.894044084260e+00,        +1.557711786787e+00,        -3.529389502264e-01,        +1.473946325752e+00,        +7.071067811865e+00,        -3.529389502248e-01,        +1.473946325753e+00,        +2.906201430951e+00,        +1.575166146741e+00
 1.50400000e+02,        +7.071067811865e+00,        +2.833128711660e+00,        +1.665775277926e+00,        +3.655403310426e-01,        +1.606499032126e+00,        +7.071067811865e+00,        +3.655403310443e-01,        +1.606499032130e+00,        +2.848019395125e+00,        +1.684920648812e+00
 1.52000000e+02,        +7.071067811865e+00,        +2.998147529107e+00,        +1.916040658158e+00,        +1.033873850939e+00,        +1.424579735680e+00,        +7.071067811865e+00,        +1.033873850940e+00,        +1.424579735683e+00,        +3.017370314278e+00,        +1.935371864513e+00
 1.53600000e+02,        +7.071067811865e+00,        +3.388333582938e+00,        +2.064756432844e+00,        +1.616116367849e+00,        +1.009291688860e+00,        +7.071067811865e+00,        +1.616116367849e+00,        +1.009291688860e+00,        +3.412272848746e+00,        +2.081969540361e+00
 1.55200000e+02,        +7.071067811865e+00,        +3.855603555025e+00,        +1.952201930574e+00,        +2.052710844496e+00,        +3.299514521699e-01,        +7.071067811865e+00,        +2.052710844493e+00,        +3.299514521696e-01,        +3.883032522130e+00,        +1.964812707078e+00
